counter,currentDate,external_temp,external_humidity,internal_temp
230,2020-08-24 19:43:19.157814,23.0,66.0,1.3125
231,2020-08-24 19:45:22.493557,,,2.0
232,2020-08-24 19:48:00.813650,23.0,66.0,2.3125
233,2020-08-24 19:50:14.288965,22.0,67.0,2.625
234,2020-08-24 19:52:17.663555,23.0,66.0,3.0625
235,2020-08-24 19:54:18.541427,23.0,66.0,3.3125
236,2020-08-24 19:56:21.903542,23.0,66.0,3.5
237,2020-08-24 19:58:32.901697,23.0,67.0,3.5
238,2020-08-24 20:00:36.306029,23.0,67.0,3.5625
239,2020-08-24 20:02:37.205149,23.0,67.0,3.625
240,2020-08-24 20:04:38.075550,23.0,67.0,3.75
241,2020-08-24 20:06:38.883530,23.0,67.0,3.8125
242,2020-08-24 20:08:49.903487,23.0,67.0,3.875
243,2020-08-24 20:10:55.835480,23.0,67.0,3.875
244,2020-08-24 20:12:56.684461,23.0,67.0,4.0
245,2020-08-24 20:15:00.075660,23.0,67.0,4.0
246,2020-08-24 20:17:00.903562,23.0,67.0,4.0
247,2020-08-24 20:19:04.493601,23.0,67.0,4.0
248,2020-08-24 20:21:05.283657,23.0,67.0,3.875
249,2020-08-24 20:23:11.251144,23.0,67.0,4.0625
250,2020-08-24 20:25:14.613557,23.0,67.0,4.25
251,2020-08-24 20:27:20.550069,23.0,67.0,4.5
252,2020-08-24 20:29:21.373551,23.0,67.0,4.6875
253,2020-08-24 20:31:22.250354,23.0,68.0,4.875
254,2020-08-24 20:33:25.603602,23.0,68.0,5.9375
255,2020-08-24 20:35:31.541004,23.0,68.0,5.5
256,2020-08-24 20:37:42.543499,23.0,68.0,5.4375
257,2020-08-24 20:39:45.923543,23.0,68.0,5.5
258,2020-08-24 20:41:51.860383,23.0,68.0,5.625
259,2020-08-24 20:43:52.673540,23.0,68.0,5.75
260,2020-08-24 20:45:58.573657,23.0,68.0,5.875
Motion,2020-08-24 20:47:41.017419,23.0,68.0,12.5
261,2020-08-24 20:48:04.793693,23.0,68.0,11.8125
262,2020-08-24 20:50:05.613705,23.0,69.0,8.625
263,2020-08-24 20:52:11.554669,23.0,69.0,7.875
264,2020-08-24 20:54:12.383554,23.0,68.0,7.625
265,2020-08-24 20:56:18.263482,23.0,68.0,7.4375
266,2020-08-24 20:58:19.133582,23.0,68.0,7.375
267,2020-08-24 21:00:25.300603,23.0,68.0,7.375
268,2020-08-24 21:02:26.163475,23.0,68.0,7.3125
269,2020-08-24 21:04:32.093558,23.0,68.0,3.9375
270,2020-08-24 21:06:45.754524,23.0,68.0,1.4375
271,2020-08-24 21:08:46.653657,23.0,68.0,0.5625
272,2020-08-24 21:10:47.515334,23.0,68.0,0.3125
273,2020-08-24 21:12:48.333566,23.0,66.0,0.5
274,2020-08-24 21:14:54.333498,23.0,65.0,0.5625
275,2020-08-24 21:17:05.563561,23.0,65.0,1.0
276,2020-08-24 21:19:06.333708,23.0,65.0,3.0625
277,2020-08-24 21:21:19.893557,22.0,66.0,3.75
278,2020-08-24 21:23:20.759095,22.0,66.0,4.125
279,2020-08-24 21:25:24.093675,22.0,66.0,4.3125
280,2020-08-24 21:27:27.500003,22.0,66.0,4.5
281,2020-08-24 21:29:28.353537,22.0,66.0,4.6875
282,2020-08-24 21:31:29.153482,22.0,65.0,4.9375
283,2020-08-24 21:33:45.183540,22.0,65.0,5.125
284,2020-08-24 21:35:51.128328,21.0,65.0,5.3125
285,2020-08-24 21:37:57.091992,21.0,66.0,5.4375
286,2020-08-24 21:40:00.453555,22.0,65.0,5.625
287,2020-08-24 21:42:14.013545,22.0,65.0,5.8125
288,2020-08-24 21:44:19.943143,21.0,65.0,6.0
289,2020-08-24 21:46:33.477099,21.0,66.0,6.125
290,2020-08-24 21:48:36.813472,21.0,65.0,6.1875
291,2020-08-24 21:50:37.683494,21.0,65.0,3.625
292,2020-08-24 21:52:43.593553,21.0,65.0,1.625
293,2020-08-24 21:54:46.901267,21.0,65.0,0.4375
294,2020-08-24 21:56:50.298724,21.0,65.0,-0.375
295,2020-08-24 21:58:56.239026,21.0,65.0,-0.6875
296,2020-08-24 22:01:02.133539,21.0,65.0,-0.6875
297,2020-08-24 22:03:02.973678,21.0,65.0,-0.125
298,2020-08-24 22:05:08.883569,21.0,65.0,-0.125
299,2020-08-24 22:07:14.753486,21.0,64.0,0.125
300,2020-08-24 22:09:20.673615,21.0,64.0,0.5
301,2020-08-24 22:11:29.136939,21.0,65.0,0.75
302,2020-08-24 22:13:32.535201,21.0,64.0,0.875
303,2020-08-24 22:15:33.423520,21.0,64.0,1.0
304,2020-08-24 22:17:44.414886,21.0,64.0,0.9375
305,2020-08-24 22:19:45.213536,21.0,64.0,1.0
306,2020-08-24 22:21:51.149617,21.0,64.0,1.125
307,2020-08-24 22:23:51.963552,21.0,64.0,1.1875
308,2020-08-24 22:25:57.853684,21.0,64.0,1.3125
309,2020-08-24 22:28:03.743495,21.0,63.0,1.25
310,2020-08-24 22:30:24.873548,21.0,63.0,1.3125
311,2020-08-24 22:32:48.513547,21.0,63.0,1.5625
312,2020-08-24 22:34:54.452707,21.0,63.0,1.5625
313,2020-08-24 22:36:55.263573,21.0,63.0,1.6875
314,2020-08-24 22:39:01.162512,21.0,63.0,1.6875
315,2020-08-24 22:41:22.286508,21.0,65.0,1.9375
316,2020-08-24 22:43:25.653548,21.0,64.0,4.5
317,2020-08-24 22:45:29.053747,21.0,64.0,3.8125
Motion,2020-08-24 22:47:15.631805,21.0,64.0,7.25
318,2020-08-24 22:47:34.923543,21.0,63.0,7.5
319,2020-08-24 22:49:40.854352,21.0,64.0,5.25
320,2020-08-24 22:51:44.193541,21.0,64.0,6.25
321,2020-08-24 22:53:55.163482,21.0,64.0,5.0
322,2020-08-24 22:56:01.033547,21.0,63.0,4.5
323,2020-08-24 22:58:06.937825,21.0,63.0,4.125
324,2020-08-24 23:00:07.973425,21.0,64.0,3.8125
325,2020-08-24 23:02:08.813653,21.0,63.0,3.5
326,2020-08-24 23:04:14.743551,21.0,63.0,3.375
327,2020-08-24 23:06:20.636097,21.0,63.0,3.375
328,2020-08-24 23:08:21.493545,21.0,64.0,3.375
329,2020-08-24 23:10:22.333673,21.0,63.0,5.0
Motion,2020-08-24 23:11:46.270530,21.0,63.0,8.0625
330,2020-08-24 23:12:28.243686,21.0,63.0,7.3125
331,2020-08-24 23:14:39.223906,21.0,64.0,7.75
332,2020-08-24 23:16:47.713480,21.0,63.0,15.6875
333,2020-08-24 23:18:48.553502,21.0,64.0,9.3125
334,2020-08-24 23:20:49.453673,22.0,63.0,7.9375
335,2020-08-24 23:22:55.391670,21.0,63.0,7.6875
Motion,2020-08-24 23:24:57.211842,21.0,63.0,8.0
336,2020-08-24 23:24:56.263554,22.0,63.0,8.8125
337,2020-08-24 23:27:02.193812,22.0,63.0,7.5
338,2020-08-24 23:29:13.223402,22.0,63.0,6.3125
339,2020-08-24 23:31:14.053562,21.0,63.0,5.75
340,2020-08-24 23:33:19.983861,21.0,63.0,5.5625
341,2020-08-24 23:35:25.909162,21.0,63.0,5.375
342,2020-08-24 23:37:29.243660,21.0,63.0,5.25
343,2020-08-24 23:39:35.113550,21.0,63.0,5.125
344,2020-08-24 23:41:35.977942,21.0,63.0,5.0625
345,2020-08-24 23:43:39.343545,21.0,63.0,4.9375
346,2020-08-24 23:45:45.282784,21.0,63.0,4.875
347,2020-08-24 23:47:46.093735,21.0,63.0,4.8125
348,2020-08-24 23:49:46.883467,21.0,63.0,4.8125
349,2020-08-24 23:51:57.914536,21.0,63.0,4.6875
350,2020-08-24 23:54:09.023458,21.0,63.0,4.5625
Motion,2020-08-24 23:55:45.421804,21.0,63.0,11.6875
351,2020-08-24 23:56:30.156572,21.0,62.0,9.6875
352,2020-08-24 23:58:38.563540,21.0,62.0,6.625
353,2020-08-25 00:00:39.373682,21.0,62.0,4.6875
354,2020-08-25 00:02:40.236426,21.0,63.0,3.0
355,2020-08-25 00:04:43.642888,21.0,62.0,2.1875
356,2020-08-25 00:06:57.177429,21.0,63.0,1.6875
357,2020-08-25 00:09:00.583522,21.0,62.0,1.875
358,2020-08-25 00:11:01.488315,21.0,63.0,3.8125
359,2020-08-25 00:13:04.883900,21.0,63.0,4.5625
360,2020-08-25 00:15:05.693667,21.0,63.0,4.8125
361,2020-08-25 00:17:09.253504,21.0,63.0,5.125
362,2020-08-25 00:19:10.093691,21.0,63.0,5.3125
Motion,2020-08-25 00:20:45.512758,21.0,63.0,8.6875
363,2020-08-25 00:21:10.963553,21.0,63.0,8.875
364,2020-08-25 00:23:16.896371,21.0,64.0,7.25
365,2020-08-25 00:25:22.820063,21.0,63.0,8.5625
366,2020-08-25 00:27:23.633544,21.0,63.0,7.5625
367,2020-08-25 00:29:29.723548,21.0,63.0,9.8125
368,2020-08-25 00:31:35.652027,21.0,64.0,9.9375
Motion,2020-08-25 00:31:46.825076,21.0,64.0,10.9375
369,2020-08-25 00:33:38.993552,21.0,63.0,9.875
370,2020-08-25 00:35:44.923196,21.0,63.0,8.8125
371,2020-08-25 00:38:06.038747,21.0,62.0,8.0625
372,2020-08-25 00:40:24.670865,21.0,62.0,8.5625
373,2020-08-25 00:42:55.913551,21.0,62.0,5.375
374,2020-08-25 00:45:01.849037,21.0,62.0,3.125
375,2020-08-25 00:47:10.223495,21.0,62.0,4.875
376,2020-08-25 00:49:11.023668,21.0,62.0,3.4375
377,2020-08-25 00:51:16.983545,21.0,62.0,5.0
378,2020-08-25 00:53:22.918765,21.0,63.0,4.4375
379,2020-08-25 00:55:28.842203,21.0,62.0,6.9375
Motion,2020-08-25 00:56:45.550377,21.0,62.0,8.9375
380,2020-08-25 00:57:34.773585,21.0,63.0,7.6875
381,2020-08-25 00:59:43.173510,21.0,63.0,10.75
